id,text
1,We will ensure that workers receive a real living wage and better protections at work.
2,The number of young people not in education employment or training has risen sharply.
3,Our plan will cut taxes for small business owners helping them invest and create jobs.
4,Migrants make enormous contributions to our economy our public services and our culture.
5,Criminals who commit violent offences must face the full force of the law.
6,We will help people across the country to live better lives.
7,The Workers' Party has long campaigned for fair pay.
8,Our policy of tax cuts has been criticised for favouring the rich at the expense of low-income families.
9,Their families deserve support during this difficult time.
10,Elderly people in rural areas struggle to access basic healthcare services.
